NU_ANO,NU_IDADE,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_LC,NU_NOTA_MT,SG_UF_PROVA,TP_PRESENCA_D1,TP_PRESENCA_D2,TP_SEXO
2015,42.0,705.3,657.4,591.1,732.3,Rio Grande do Sul,1,1,M
2015,21.0,,,,,Minas Gerais,0,0,M
2015,22.0,531.1,528.5,511.3,566.5,Pernambuco,1,1,M
2015,23.0,,,,,Minas Gerais,0,0,F
2015,18.0,730.6,679.9,621.2,732.4,Minas Gerais,1,1,M
2015,19.0,658.0,598.7,579.0,576.4,Santa Catarina,1,1,M
2015,17.0,671.9,652.1,609.3,685.5,São Paulo,1,1,F
2015,26.0,589.3,381.6,534.2,584.1,Maranhão,1,1,M
2015,43.0,,,,,Sergipe,0,0,M
2015,29.0,606.1,607.5,573.2,701.1,Rio Grande do Sul,1,1,F
2015,25.0,523.3,521.2,496.7,455.8,Paraná,1,1,M
2015,25.0,553.3,477.3,523.9,429.5,São Paulo,1,1,M
2015,20.0,624.5,452.2,596.8,405.1,Rio de Janeiro,1,1,F
2015,20.0,,,,,Bahia,0,0,F
2015,21.0,522.6,478.4,476.5,432.7,Distrito Federal,1,1,M
2015,19.0,,,,,Rio de Janeiro,0,0,M
2015,22.0,651.0,552.0,602.8,825.2,Maranhão,1,1,F
2015,23.0,,,,,Distrito Federal,0,0,F
2015,23.0,,,,,Distrito Federal,0,0,M
2015,27.0,,,,,Rio de Janeiro,0,0,F
2015,22.0,579.6,523.2,594.8,561.7,São Paulo,1,1,M
2015,29.0,,,488.5,513.1,São Paulo,0,1,M
2015,19.0,,,,,São Paulo,0,0,F
2015,18.0,650.3,589.2,587.9,591.3,Mato Grosso,1,1,M
2015,27.0,668.8,432.6,608.9,564.3,São Paulo,1,1,F
2015,16.0,602.7,573.2,586.2,635.1,São Paulo,1,1,F
2015,20.0,589.6,436.8,529.7,496.4,Paraná,1,1,F
2015,31.0,,,,,Amazonas,0,0,M
2015,20.0,599.8,557.3,567.2,615.3,São Paulo,1,1,F
2015,23.0,600.8,474.9,598.7,616.2,Rio de Janeiro,1,1,M
2015,23.0,,,,,São Paulo,0,0,F
2015,27.0,,,,,São Paulo,0,0,M
2015,21.0,621.2,454.6,580.5,443.2,Rio de Janeiro,1,1,M
2015,18.0,602.4,658.8,582.7,753.0,Rio Grande do Sul,1,1,M
2015,20.0,426.4,457.5,442.3,378.8,Bahia,1,1,M
2015,20.0,,,,,Minas Gerais,0,0,F
2015,37.0,,,,,Espírito Santo,0,0,F
2015,20.0,539.5,402.9,537.5,512.5,Rio de Janeiro,1,1,M
2015,23.0,,,,,São Paulo,0,0,M
2015,18.0,568.2,502.2,527.3,419.3,Bahia,1,1,M
2015,25.0,694.1,494.2,582.3,714.5,Rio Grande do Norte,1,1,M
2015,19.0,622.5,607.2,590.3,718.7,Goiás,1,1,M
2015,28.0,,,,,Mato Grosso,0,0,F
2015,23.0,613.4,488.4,523.6,478.8,São Paulo,1,1,M
2015,18.0,530.7,482.4,449.8,547.4,Ceará,1,1,M
2015,31.0,,,,,Ceará,0,0,M
2015,22.0,515.5,494.6,537.5,482.0,São Paulo,1,1,F
2015,20.0,556.2,512.8,372.1,568.1,Paraná,1,1,M
2015,18.0,561.6,508.6,547.1,324.1,São Paulo,1,1,M
2015,24.0,607.8,520.0,580.7,527.5,Paraná,1,1,F
2015,34.0,,,,,Minas Gerais,0,0,F
2015,16.0,597.6,586.0,572.6,431.4,Pernambuco,1,1,F
2015,28.0,549.3,503.2,488.4,367.0,Minas Gerais,1,1,F
2015,17.0,694.3,645.0,656.4,780.2,Paraná,1,1,F
2015,31.0,632.7,514.0,544.7,589.8,Rio de Janeiro,1,1,F
2015,21.0,,,,,Bahia,0,0,F
2015,27.0,590.9,470.9,474.4,530.8,Goiás,1,1,M
2015,18.0,601.2,420.9,,,São Paulo,1,0,M
2015,31.0,,,,,Minas Gerais,0,0,F
2015,20.0,637.0,520.8,559.6,494.1,Paraíba,1,1,M
2015,20.0,608.6,482.3,551.1,509.5,São Paulo,1,1,F
2015,20.0,661.2,588.0,554.9,673.7,Santa Catarina,1,1,M
2015,21.0,588.0,465.9,498.2,421.8,Paraná,1,1,F
2015,24.0,555.7,489.8,547.5,505.6,Rio de Janeiro,1,1,F
2015,29.0,,,,,Rio de Janeiro,0,0,M
2015,20.0,563.5,550.5,547.9,375.7,Rio de Janeiro,1,1,M
2015,18.0,574.9,474.8,554.9,606.8,São Paulo,1,1,F
2015,22.0,600.2,485.8,,,Distrito Federal,1,0,M
